"scope","current_url","label","in_sitemap","current_state","page_family","search_intent","disposition","destination","freshness_risk","image_quality","source_quality","advisory_relationship","conversion_route","confidence","evidence_or_blocker"
"primary-static","/","Newsroom home","yes","200,indexable","newsroom-home","latest UAE and Dubai property news","IMPROVE","/","high","mixed; six rendered images","feed inherits article evidence gaps","News gateway only; do not call the feed Raj-authored Intelligence","article decision CTA then /engage; global booking links","high","Newest item was about 63.5 hours old at audit; homepage promise and section naming collide with advisory Intelligence"
"primary-static","/news","News archive","yes","200,indexable","news-archive","browse all property reports","KEEP","/news","high","no images in audited render","inherits article evidence gaps","Canonical newsroom archive; not Latest from Raj","add topic/dossier paths before /engage; global links currently carry conversion","high","Retain URL and archive role; add filters and visible freshness state"
"primary-static","/areas","Area directory","yes","200,indexable","area-index","browse news by area","MERGE","/news","high","contextual area assets, not report evidence","19 generated pages have empty bodies and no page citations","Merge newsroom taxonomy into /news; point decision intent to advisory area dossiers","area dossier then /engage","high","Generated from loose full-body mentions; merge only after /news area filters exist"
"primary-static","/map","Signal map","yes","200,indexable","area-navigation","find reports geographically","MERGE","/news","high","map/navigation only","no independent evidence layer","Area navigation should support advisory dossiers, not imply a proprietary market score","area dossier then /engage","high","Copy is defensive: not a heatmap; no mood score; no invented market layer"
"primary-static","/terminal","News terminal","yes","200,indexable","research-tool","scan and filter market signals","NOINDEX","/terminal","high","interface only","underlying article evidence varies","Utility, not Raj-authored Intelligence","selected article/dossier then /engage","high","Remove from sitemap; keep accessible as a utility with noindex,nofollow as appropriate"
"primary-static","/developers","Developer directory","yes","200,indexable","developer-index","compare UAE developers","REDIRECT","https://investwithraj.com/developers","high","five verified developer images across 45 cards","39 of 45 cards have no newsroom report page and link externally","Advisory developer directory is the canonical decision surface","developer dossier then /engage","high","Audited at 29.5 screens, 1,220 words and 165 links; preserve only if advisory team rejects canonical ownership"
"primary-static","/about","About IWR News","yes","200,indexable","trust","understand publisher and newsroom","KEEP","/about","low","not material","publisher claims require periodic verification","Newsroom trust page; separate from advisory biography","editorial standards then advisory /engage","high","Keep claims factual and verifiable"
"primary-static","/about/editorial-standards","Editorial standards","yes","200,indexable","trust","evaluate sourcing and editorial process","KEEP","/about/editorial-standards","medium","not material","public two-domain promise diverges from 13 single-source live records","Newsroom governance only","news archive or advisory /engage","high","Update corpus or standard so public promise matches enforcement"
"primary-static","/legal/privacy","Privacy policy","yes","200,indexable","legal","privacy and data handling","KEEP","/legal/privacy","high","not material","legal text requires owner review when tracking changes","Shared trust support, not editorial content","/engage only through global navigation","high","Retain and review after analytics/forms changes"
"primary-article","/news/2026-08-13-dubai-luxury-segment-posts-aed-87-71bn-as-conviction","Dubai luxury segment posts AED 87.71bn as conviction replaces momentum","yes","200,indexable","market-pulse","Dubai luxury H1 sales and investor implications","IMPROVE","self","high","I1 contextual Palm Jebel Ali image","S1 DLD primary plus secondary corroboration","News; candidate for a separately attested Raj-authored luxury-cycle thesis","separate Latest from Raj thesis if authored, then /engage; otherwise decision CTA","high","Add exact chart/image, inline claim citations and timestamped data scope"
